scenarioId,app,build,schema,sampleIndex,readyToInputMs,inputToCandidateMs,commitMs,firstCandidateText,committedValue,wasmReadyBytes,wasmPeakBytes,resourceTransferBytes,resourceUniqueEncodedBytes,storageUsageBytes,workerUrls,consoleErrors
yune-tracked,yune-web,tracked-dist,luna_pinyin,0,1211,69,14,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,1,1228,64,108,你,你,167772160,167772160,36602779,36593779,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,2,1218,69,120,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,3,1263,70,117,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,4,1217,60,120,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,5,1215,71,119,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,6,1192,84,106,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,jyutping,0,6005,120,106,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,1,5986,96,105,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,2,5945,124,106,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,3,5987,104,108,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,4,5992,97,119,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,5,5969,99,119,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,6,5998,95,120,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:55847/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,0,1248,72,117,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,1,1289,72,117,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,2,1238,88,109,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,3,1235,69,119,你,你,167772160,167772160,36861837,36604685,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,4,1256,74,109,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,5,1295,70,114,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,6,1247,74,121,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,jyutping,0,6022,87,110,呢,你,936509440,936509440,33736882,33386302,29983088,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,1,5996,94,121,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,2,5944,97,119,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,3,6141,101,120,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,4,5934,96,119,呢,你,936509440,936509440,33736882,33386302,29983088,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,5,5948,104,119,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,6,5944,119,119,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:55848/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,0,629,95,119,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,1,590,98,110,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,2,689,97,110,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,3,636,84,123,你,你,16777216,16777216,8951281,8946481,16062666,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,4,552,97,119,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,5,661,100,116,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,6,611,95,116,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,0,913,108,125,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,1,914,94,124,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,2,929,107,124,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,3,1021,98,119,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,4,949,86,119,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,5,912,82,110,我,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,6,913,104,124,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
