engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,0,1,91743.700,91743.700,14929920,19738624,18989056,21274624
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,1,1,31804.000,31804.000,19116032,20013056,19238912,22450176
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,2,1,31190.200,31190.200,19091456,20033536,19247104,22458368
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,3,1,33737.400,33737.400,19091456,20037632,19259392,22458368
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,4,1,32258.300,32258.300,19111936,20041728,19079168,22499328
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,5,1,31787.900,31787.900,19087360,20131840,19103744,22499328
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,6,1,31997.700,31997.700,19103744,20144128,19107840,22499328
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,7,1,30595.400,30595.400,19107840,20074496,19148800,22499328
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,8,1,30909.700,30909.700,19148800,20123648,19116032,22499328
librime-1.17.0,session_create_select_destroy,,0,1,31481.000,31481.000,19165184,19279872,0,22544384
librime-1.17.0,session_create_select_destroy,,1,1,31445.000,31445.000,19279872,19386368,0,22544384
librime-1.17.0,session_create_select_destroy,,2,1,31526.500,31526.500,19386368,19419136,0,22544384
librime-1.17.0,session_create_select_destroy,,3,1,29173.500,29173.500,19419136,19398656,0,22544384
librime-1.17.0,session_create_select_destroy,,4,1,30778.900,30778.900,19398656,19410944,0,22544384
librime-1.17.0,session_create_select_destroy,,5,1,29379.900,29379.900,19410944,19398656,0,22544384
librime-1.17.0,session_create_select_destroy,,6,1,32636.600,32636.600,19398656,19415040,0,22544384
librime-1.17.0,session_create_select_destroy,,7,1,29446.000,29446.000,19415040,19406848,0,22560768
librime-1.17.0,session_create_select_destroy,,8,1,28573.400,28573.400,19415040,19419136,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,0,2,29.300,14.650,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,1,2,28.900,14.450,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,2,2,28.700,14.350,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,3,2,28.500,14.250,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,4,2,28.200,14.100,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,5,2,28.600,14.300,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,6,2,28.300,14.150,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,7,2,28.300,14.150,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,8,2,28.400,14.200,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,9,2,28.300,14.150,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,10,2,28.300,14.150,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,11,2,28.100,14.050,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,12,2,28.200,14.100,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,13,2,34.600,17.300,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,14,2,28.400,14.200,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,15,2,28.200,14.100,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,16,2,28.300,14.150,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,17,2,28.000,14.000,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,18,2,28.100,14.050,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,19,2,28.000,14.000,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,20,2,28.000,14.000,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,21,2,28.200,14.100,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,22,2,28.100,14.050,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,23,2,28.200,14.100,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,ni,24,2,28.100,14.050,20455424,20455424,0,22560768
librime-1.17.0,key_sequence_process_with_context,hao,0,3,35.700,11.900,20398080,20398080,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,1,3,35.400,11.800,20398080,20398080,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,2,3,35.700,11.900,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,3,3,35.100,11.700,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,4,3,35.400,11.800,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,5,3,35.600,11.867,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,6,3,35.300,11.767,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,7,3,35.400,11.800,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,8,3,35.000,11.667,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,9,3,35.400,11.800,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,10,3,35.200,11.733,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,11,3,35.100,11.700,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,12,3,35.300,11.767,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,13,3,35.200,11.733,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,14,3,35.100,11.700,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,15,3,35.400,11.800,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,16,3,35.000,11.667,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,17,3,35.200,11.733,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,18,3,35.100,11.700,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,19,3,35.000,11.667,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,20,3,35.200,11.733,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,21,3,34.900,11.633,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,22,3,34.800,11.600,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,23,3,34.800,11.600,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,hao,24,3,35.100,11.700,20406272,20406272,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,0,8,1533.000,191.625,21422080,21635072,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,1,8,1503.400,187.925,21635072,21417984,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,2,8,1475.800,184.475,21417984,21610496,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,3,8,1512.500,189.063,21610496,21430272,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,4,8,1552.800,194.100,21430272,21659648,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,5,8,1511.800,188.975,21659648,21426176,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,6,8,1562.400,195.300,21426176,21430272,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,7,8,1528.400,191.050,21430272,21630976,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,8,8,1579.500,197.438,21630976,21647360,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,9,8,1531.700,191.463,21647360,21446656,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,10,8,1555.300,194.413,21446656,21663744,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,11,8,1478.500,184.813,21663744,21643264,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,12,8,1489.500,186.188,21643264,21671936,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,13,8,1480.600,185.075,21671936,21639168,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,14,8,1553.500,194.188,21639168,21671936,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,15,8,1475.800,184.475,21671936,21655552,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,16,8,1501.000,187.625,21655552,21676032,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,17,8,1413.600,176.700,21684224,21655552,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,18,8,1476.700,184.588,21655552,21667840,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,19,8,1471.700,183.963,21667840,21622784,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,20,8,1503.700,187.963,21622784,21454848,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,21,8,1523.000,190.375,21454848,21663744,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,22,8,1457.300,182.163,21663744,21671936,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,23,8,1482.600,185.325,21671936,21671936,0,22704128
librime-1.17.0,key_sequence_process_with_context,zhongguo,24,8,1479.200,184.900,21671936,21663744,0,22704128
